sn,e,n,z,rem
501,1000.000,1000.000,1304.847,STN
502,984.456,1067.327,1305.979,STN
503,935.987,1064.754,1307.784,STN
504,1035.317,1015.453,1299.795,STN
505,915.773,992.476,1304.112,STN
506,897.221,1031.211,1302.537,STN
2,1023.102,1025.806,1298.169,A
3,1003.178,998.272,1304.848,A
4,1004.066,997.113,1305.337,A
5,1006.835,998.138,1304.890,A
6,1009.194,997.040,1305.267,A
7,1012.594,996.742,1305.219,A
8,1018.522,999.301,1304.588,A
9,1018.663,997.012,1304.773,A
10,1029.590,998.165,1304.494,A
11,1025.439,996.368,1304.741,A
12,1029.691,995.952,1304.615,A
13,1037.538,997.257,1303.947,A
14,1029.452,995.005,1304.884,A
15,1037.321,993.170,1304.195,A
16,1029.060,993.460,1305.292,A
17,1032.037,992.838,1305.383,A
18,1031.944,993.766,1305.142,A
19,1018.112,995.179,1305.322,A
20,1018.574,990.909,1305.513,A
21,999.229,1001.304,1304.706,A
22,1021.284,987.939,1306.764,A
23,1022.216,990.137,1305.487,A
24,1025.156,992.981,1305.402,A
25,1024.720,989.049,1305.802,A
26,1027.786,993.041,1305.465,A
27,1028.043,988.767,1305.889,A
28,1031.258,991.386,1305.541,A
29,1031.871,989.049,1305.808,A
30,1031.916,986.193,1307.217,A
32,1028.042,985.603,1307.465,A
33,997.910,996.560,1305.151,A
34,1033.870,986.195,1306.970,A
35,1025.237,987.568,1306.741,A
36,1032.217,983.640,1305.414,A
37,1000.446,995.922,1305.126,A
38,998.052,992.495,1305.339,A
39,1012.690,986.922,1306.595,A
40,990.200,990.690,1306.132,A
41,1010.837,984.999,1306.997,A
42,1010.451,989.000,1306.477,A
43,994.642,989.733,1306.155,A
44,993.874,985.063,1306.848,A
45,1008.124,985.021,1306.689,A
46,999.829,986.936,1306.676,A
47,1005.399,986.096,1306.617,A
48,997.465,982.227,1307.541,A
49,997.273,978.549,1307.501,A
50,1003.834,991.036,1306.135,A
51,994.793,973.144,1307.979,A
52,1003.324,992.179,1305.459,A
53,1001.458,996.898,1305.047,A
54,994.756,973.194,1307.975,A
55,981.661,989.443,1306.256,A
56,1007.210,979.847,1307.477,A
57,1005.852,972.711,1307.988,A
58,999.851,975.788,1307.848,A
59,994.503,1002.312,1304.425,A
60,997.427,1003.376,1304.148,A
61,991.700,990.805,1306.111,A
62,991.043,1001.317,1304.695,A
63,995.496,992.695,1305.434,A
64,987.109,999.172,1304.362,A
65,982.644,993.885,1304.898,A
66,977.142,997.737,1303.407,A
67,982.137,990.600,1305.924,A
68,979.762,995.030,1304.013,A
69,981.834,992.091,1305.247,A
70,979.694,990.684,1305.528,A
71,984.917,1006.286,1302.371,A
72,980.939,1005.096,1302.259,A
73,975.499,1002.663,1301.832,A
74,974.062,1004.979,1300.785,A
75,985.946,1010.595,1301.683,A
76,990.555,1013.919,1300.996,A
77,970.370,1043.249,1300.804,A
78,968.299,1047.469,1302.391,A
79,998.754,1018.334,1299.766,A
80,997.773,1011.947,1301.787,A
81,968.535,1039.138,1299.755,A
82,999.328,1009.029,1301.857,A
83,1003.735,1019.219,1299.063,A
84,1007.785,1005.011,1303.288,A
85,1006.186,1015.179,1300.657,A
86,968.263,1037.615,1299.336,A
87,1009.222,1009.977,1301.691,A
88,964.808,1036.670,1299.267,A
89,1004.280,1002.768,1303.781,A
90,1007.764,1006.726,1302.727,A
91,1002.933,1001.643,1304.305,A
92,965.990,1038.313,1299.595,A
93,967.123,1036.427,1299.096,A
94,967.996,1034.325,1298.645,A
95,986.942,1021.569,1298.434,A
96,978.081,1026.213,1298.287,A
97,979.908,1025.986,1298.189,A
98,989.430,996.724,1304.741,A
99,988.224,998.637,1304.270,A
100,979.703,998.294,1303.661,A
101,978.595,995.347,1303.829,A
102,975.157,996.975,1303.290,A
103,977.467,995.458,1302.967,A
104,975.024,992.644,1303.576,A
105,973.258,989.200,1304.016,A
106,971.089,988.642,1304.832,A
107,974.447,986.259,1305.738,A
108,968.503,984.140,1305.801,A
109,974.010,983.414,1306.809,A
110,965.391,981.419,1306.806,A
111,972.572,977.365,1307.037,A
112,964.414,984.903,1305.534,A
113,966.577,994.012,1303.307,A
114,955.436,993.196,1303.397,A
115,945.876,994.702,1304.120,A
116,948.267,992.434,1304.177,A
117,950.451,987.274,1305.519,A
118,951.278,990.709,1304.282,A
119,954.734,980.995,1307.064,A
120,984.481,1069.029,1306.385,B
121,985.544,1065.125,1305.353,B
122,984.599,1071.005,1306.883,B
123,984.684,1072.898,1307.343,B
124,984.710,1074.620,1307.763,B
125,984.785,1075.936,1307.858,B
126,984.680,1077.708,1308.024,B
127,982.769,1078.630,1308.427,B
128,982.224,1081.055,1308.777,B
129,981.981,1082.756,1309.103,B
130,981.483,1085.046,1309.445,B
131,981.182,1086.749,1309.721,B
132,980.735,1089.085,1310.024,B
133,980.328,1092.276,1310.820,B
134,980.265,1093.571,1310.775,B
135,979.675,1096.491,1310.718,B
136,978.885,1100.816,1312.253,B
137,975.507,1099.808,1312.370,B
138,975.881,1092.338,1311.041,B
139,976.854,1084.650,1309.827,B
140,979.337,1079.309,1308.807,B
141,982.485,1072.452,1307.425,B
142,979.732,1071.478,1307.470,B
143,975.290,1075.567,1308.546,B
144,971.708,1078.872,1309.206,B
145,966.633,1083.266,1310.315,B
146,960.982,1084.985,1310.811,B
147,956.459,1078.463,1310.095,B
148,963.108,1074.865,1308.966,B
149,972.100,1070.624,1307.800,B
150,976.125,1070.026,1307.419,B
151,975.241,1066.475,1306.830,B
152,971.519,1068.447,1307.491,B
153,970.205,1065.344,1307.074,B
154,965.514,1069.274,1307.977,B
155,965.490,1064.702,1307.282,B
156,960.019,1069.929,1308.491,B
157,959.713,1064.775,1307.646,B
158,953.016,1073.365,1309.258,B
159,954.632,1064.466,1307.816,B
160,954.085,1068.177,1308.367,B
161,951.593,1064.554,1307.984,B
162,952.934,1073.582,1309.890,B
163,947.117,1065.574,1308.405,B
164,947.096,1082.483,1312.129,B
165,942.104,1065.622,1308.512,B
166,937.047,1080.578,1311.328,B
167,949.308,1070.528,1309.040,B
168,942.125,1065.665,1308.521,B
169,934.126,1070.263,1309.806,B
170,934.049,1065.791,1308.951,B
171,931.349,1061.834,1308.111,B
172,942.641,1061.546,1307.831,B
173,931.402,1067.746,1309.418,B
174,925.007,1066.204,1309.182,B
175,926.239,1061.126,1308.256,B
177,985.380,1065.829,1305.567,B
178,949.126,1060.085,1307.314,B
179,965.452,1051.885,1304.383,B
180,963.056,1054.640,1305.141,B
181,960.734,1049.352,1304.480,B
182,958.158,1053.154,1305.170,B
183,952.651,1053.369,1305.652,B
184,954.294,1056.970,1306.534,B
185,947.500,1053.805,1305.943,B
186,946.430,1057.308,1306.864,B
187,940.757,1057.792,1307.089,B
188,990.170,1074.074,1307.051,B
189,991.854,1073.039,1306.638,B
190,989.380,1076.729,1307.430,B
191,992.928,1071.266,1306.058,B
192,993.272,1074.752,1306.779,B
193,994.531,1071.127,1305.897,B
194,992.550,1068.799,1305.549,B
195,989.024,1071.536,1306.172,B
196,984.926,1067.509,1305.702,B
197,992.208,1066.636,1304.985,B
198,997.365,1069.484,1305.229,B
199,996.735,1067.018,1304.516,B
200,1000.038,1068.115,1304.451,B
201,999.054,1065.212,1303.660,B
202,955.135,1061.187,1307.299,B
203,1000.090,1056.480,1301.241,B
204,1001.007,1054.483,1300.411,B
205,962.193,1062.011,1306.934,B
206,1005.996,1049.769,1298.335,B
207,998.791,1053.546,1297.556,B
208,1008.987,1044.749,1297.344,B
209,963.478,1058.924,1306.305,B
210,1006.680,1043.739,1297.431,B
211,974.472,1064.831,1306.743,B
212,969.889,1060.040,1306.371,B
213,990.575,1054.616,1301.818,B
214,990.286,1056.530,1302.323,B
215,992.820,1059.106,1302.913,B
216,976.201,1062.812,1305.842,B
217,975.166,1065.008,1306.427,B
218,980.113,1061.656,1305.055,B
219,979.685,1066.645,1306.128,B
